City_ID,City,Country,Lat,Lng,Date/Time,Max Temp (F),Humidity (%),Wind Speed (mph),Cloud Cover (%)
0,jacareacanga,BR,-6.22,-57.76,Wed Jun 13 09:00:00 2018,89.6,62,6.93,0
1,kaitangata,NZ,-46.28,169.85,Wed Jun 13 09:55:04 2018,42.61,94,5.64,100
2,goulburn,AU,-34.75,149.72,Wed Jun 13 09:51:18 2018,44.32,91,10.11,20
3,lata,IN,30.78,78.62,Wed Jun 13 09:55:05 2018,59.89,89,0.94,76
4,chokurdakh,RU,70.62,147.9,Wed Jun 13 09:55:06 2018,32.17,88,2.95,0
5,martyush,RU,56.4,61.89,Wed Jun 13 09:55:06 2018,55.03,94,9.33,92
6,hobart,AU,-42.88,147.33,Wed Jun 13 09:00:00 2018,44.6,87,8.05,20
7,broken hill,AU,-31.97,141.45,Wed Jun 13 09:55:11 2018,44.5,88,7.31,0
8,harnosand,SE,62.63,17.94,Wed Jun 13 09:20:00 2018,60.8,44,13.87,0
9,tuatapere,NZ,-46.13,167.69,Wed Jun 13 09:55:12 2018,38.92,100,3.4,0
10,puerto ayora,EC,-0.74,-90.35,Wed Jun 13 09:00:00 2018,77.0,69,13.87,90
11,havre-saint-pierre,CA,50.23,-63.6,Wed Jun 13 09:00:00 2018,53.6,58,19.46,75
12,punta arenas,CL,-53.16,-70.91,Wed Jun 13 09:00:00 2018,35.6,100,9.17,0
13,tasiilaq,GL,65.61,-37.64,Wed Jun 13 08:50:00 2018,39.2,60,2.24,75
14,chapais,CA,49.78,-74.86,Wed Jun 13 09:00:00 2018,59.0,38,10.29,40
15,avarua,CK,-21.21,-159.78,Wed Jun 13 09:00:00 2018,73.4,56,10.29,40
16,hofn,IS,64.25,-15.21,Wed Jun 13 09:00:00 2018,51.8,87,8.05,75
17,yukamenskoye,RU,57.89,52.24,Wed Jun 13 09:55:15 2018,56.65,98,10.22,92
18,khandbari,NP,27.38,87.21,Wed Jun 13 09:55:15 2018,44.59,67,1.39,80
19,bethel,US,60.79,-161.76,Wed Jun 13 08:53:00 2018,44.6,93,8.05,1
20,ushuaia,AR,-54.81,-68.31,Wed Jun 13 09:00:00 2018,41.0,64,3.36,75
21,east london,ZA,-33.02,27.91,Wed Jun 13 09:00:00 2018,69.8,37,5.82,0
22,bluff,AU,-23.58,149.07,Wed Jun 13 09:55:21 2018,61.96,76,4.74,76
23,mount isa,AU,-20.73,139.49,Wed Jun 13 09:00:00 2018,64.4,100,3.29,75
24,pevek,RU,69.7,170.27,Wed Jun 13 09:55:21 2018,36.94,71,6.98,0
25,gao,ML,16.28,-0.04,Wed Jun 13 09:55:21 2018,110.02,16,4.97,24
26,cabo san lucas,MX,22.89,-109.91,Wed Jun 13 08:46:00 2018,84.2,74,10.29,75
27,sao filipe,CV,14.9,-24.5,Wed Jun 13 09:55:23 2018,75.73,88,13.02,0
28,tiksi,RU,71.64,128.87,Wed Jun 13 09:54:58 2018,57.73,58,10.11,44
